series id,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
CAUR,CAUR,2023-04-08,2023-04-08, California,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:02-05:00,57,
FLUR,FLUR,2023-04-08,2023-04-08, Florida,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:03-05:00,51,
NYUR,NYUR,2023-04-08,2023-04-08, New York,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:03-05:00,51,
TXUR,TXUR,2023-04-08,2023-04-08, Texas,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:08:02-05:00,50,
PAUR,PAUR,2023-04-08,2023-04-08, Pennsylvania,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:04-05:00,40,
ILUR,ILUR,2023-04-08,2023-04-08, Illinois,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:12-05:00,29,
OHUR,OHUR,2023-04-08,2023-04-08, Ohio,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:04-05:00,39,
NCUR,NCUR,2023-04-08,2023-04-08, North Carolina,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:09-05:00,32,
ALUR,ALUR,2023-04-08,2023-04-08, Alabama,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:04-05:00,37,
MIUR,MIUR,2023-04-08,2023-04-08, Michigan,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:05-05:00,35,
MNUR,MNUR,2023-04-08,2023-04-08, Minnesota,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:05-05:00,34,
COUR,COUR,2023-04-08,2023-04-08, Colorado,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:05-05:00,35,
NJUR,NJUR,2023-04-08,2023-04-08, New Jersey,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:14-05:00,21,
TNUR,TNUR,2023-04-08,2023-04-08, Tennessee,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:08:03-05:00,34,
MAUR,MAUR,2023-04-08,2023-04-08, Massachusetts,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:07-05:00,34,
WIUR,WIUR,2023-04-08,2023-04-08, Wisconsin,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:08:03-05:00,34,
VAUR,VAUR,2023-04-08,2023-04-08, Virginia,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:08:03-05:00,34,
KYUR,KYUR,2023-04-08,2023-04-08, Kentucky,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:12-05:00,21,
GAUR,GAUR,2023-04-08,2023-04-08, Georgia,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:06-05:00,33,
WAUR,WAUR,2023-04-08,2023-04-08, Washington,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:08:02-05:00,32,
WVUR,WVUR,2023-04-08,2023-04-08, West Virginia,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:08:04-05:00,32,
MOUR,MOUR,2023-04-08,2023-04-08, Missouri,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:09-05:00,31,
INUR,INUR,2023-04-08,2023-04-08, Indiana,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:07-05:00,30,
NMUR,NMUR,2023-04-08,2023-04-08, New Mexico,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:12-05:00,27,
